Date/Time,Lat,Lon,Base
5/2/14 15:07,40.7644,-73.953,B02512
4/27/14 15:08,40.7553,-73.9795,B02512
5/16/14 15:08,40.7551,-73.9622,B02512
4/30/14 15:08,40.7741,-73.8727,B02512
4/25/14 15:09,40.7545,-73.9757,B02512
6/2/14 15:09,40.7355,-73.9755,B02512
6/29/14 15:10,40.771,-73.866,B02512
6/9/14 15:11,40.7755,-73.9558,B02512
4/19/14 15:11,40.7283,-73.9869,B02512
5/12/14 15:14,40.7577,-73.9902,B02512
5/29/14 15:14,40.764,-73.9825,B02512
4/24/14 15:14,40.7644,-73.9806,B02512
6/27/14 15:18,40.8092,-73.9536,B02512
5/22/14 15:19,40.7708,-73.8658,B02512
7/5/14 15:19,40.7556,-73.9716,B02512
6/28/14 15:19,40.7578,-73.9739,B02512
5/7/14 15:20,40.7557,-73.974,B02512
4/10/14 15:21,40.7101,-73.9849,B02512
5/30/14 15:24,40.7798,-73.96,B02512
6/25/14 15:24,40.7798,-73.96,B02512
4/12/14 15:24,40.8247,-73.9735,B02512
6/15/14 15:24,40.7416,-74.0067,B02512
4/25/14 15:24,40.7624,-73.9744,B02512
4/6/14 15:25,40.7644,-73.9727,B02512
5/18/14 15:25,40.7641,-73.977,B02512
4/4/14 15:26,40.745,-73.985,B02512
6/28/14 15:27,40.7617,-73.973,B02512
4/5/14 15:31,40.7636,-73.9735,B02512
4/21/14 15:32,40.7413,-74.0062,B02512
5/14/14 15:35,40.7866,-73.9547,B02512
5/15/14 15:35,40.7824,-73.9466,B02512
4/4/14 15:35,40.7616,-73.9686,B02512
5/25/14 15:37,40.7566,-73.9788,B02512
4/30/14 15:39,40.6339,-74.0131,B02512
4/3/14 15:39,40.7274,-74.0073,B02512
4/19/14 15:40,40.7739,-73.8715,B02512
4/26/14 15:41,40.7671,-73.9875,B02512
5/3/14 15:41,40.6951,-74.1783,B02512
5/31/14 15:44,40.7731,-73.9893,B02512
6/22/14 15:45,40.7122,-73.998,B02512
6/20/14 15:45,40.6956,-74.1779,B02512
5/17/14 15:46,40.6433,-73.7895,B02512
5/24/14 15:48,40.7556,-73.9753,B02512
6/20/14 15:48,40.7593,-73.9708,B02512
7/3/14 15:49,40.7619,-73.9726,B02512
6/14/14 15:51,40.7729,-73.9599,B02512
4/15/14 15:52,40.7616,-73.9754,B02512
5/17/14 15:53,40.7207,-74.0031,B02512
5/9/14 15:54,40.6449,-73.7823,B02512
5/21/14 15:55,40.7413,-73.9947,B02512
4/22/14 15:55,40.7658,-73.9802,B02512
5/19/14 15:56,40.7623,-73.9788,B02512
5/6/14 15:56,40.744,-73.9954,B02512
4/14/14 15:56,40.7799,-73.9608,B02512
6/13/14 15:58,40.7591,-73.9724,B02512
5/26/14 15:59,40.7573,-73.9712,B02512
6/21/14 15:59,40.7573,-73.9712,B02512
4/20/14 16:01,40.7576,-73.9696,B02512
6/20/14 16:03,40.7052,-74.01,B02512
